"No.[a]","Portrait","Name(Birth–Death)","Term[15]","Party[b][16]","Election","Vice President[17]","undefined"
"37","","Richard Nixon(1913–1994)[66]","January 20, 1969–August 9, 1974[h]","","Republican","1968

1972","Spiro Agnew[h]

Vacant:October 10 – December 6, 1973


Gerald Ford[p]"
"38","","Gerald Ford(1913–2006)[67]","August 9, 1974–January 20, 1977","","Republican","–","Vacant throughDecember 19, 1974

Nelson Rockefeller[p]"
"39","","Jimmy Carter(b. 1924)[68]","January 20, 1977–January 20, 1981","","Democratic","1976","Walter Mondale"
"40","","Ronald Reagan(1911–2004)[69]","January 20, 1981–January 20, 1989","","Republican","1980

1984","George H. W. Bush"
"41","","George H. W. Bush(1924–2018)[70]","January 20, 1989–January 20, 1993","","Republican","1988","Dan Quayle"
"42","","Bill Clinton(b. 1946)[71]","January 20, 1993–January 20, 2001","","Democratic","1992

1996","Al Gore"
"43","","George W. Bush(b. 1946)[72]","January 20, 2001–January 20, 2009","","Republican","2000

2004","Dick Cheney"
"44","","Barack Obama(b. 1961)[73]","January 20, 2009–January 20, 2017","","Democratic","2008

2012","Joe Biden"
"45","","Donald Trump(b. 1946)[74]","January 20, 2017–January 20, 2021","","Republican","2016","Mike Pence"
"46","","Joe Biden(b. 1942)[13]","January 20, 2021–Incumbent","","Democratic","2020","Kamala Harris"
